en,fr,predicted
site map,plan du site,carte du site
feedback,rétroaction,retour d'information
credits,crédits,Crédits ouverts
français,english,français
what is light ?,qu’est-ce que la lumière?,Qu'est-ce que la lumière ?
cartoon,bande dessinée,dessin animé
links,liens,liens
glossary,glossaire,glossaire
observatories,observatoires,observatoires
who are we?,où sommes-nous?,Qui sommes-nous ?
where did we come from?,d'où venons-nous?,D'où venons-nous ?
are we alone?,sommes-nous seuls?,On est seuls ?
astronomers timeline,astronomes ligne de temps,chronologie des astronomes
verbatim a journey into canadian astronomy,verbatim l'aventure astronomique canadienne,un voyage dans l'astronomie canadienne
instruments isaac newton builds his telescope.,instruments isaac newton fabrique son télescope.,les instruments isaac newton construit son télescope.
astronomes william frederick king is born.,astronomes naissance de william frederick king.,Astronomes william frederick roi est né.
astronomes john stanley plaskett is born.,astronomes naissance de john stanley plaskett.,astronomes john stanley plaskett est né.
astronomes clarence augustus chant is born.,astronomes naissance de clarence augustus chant.,astronomes clarence augustus chant est né.
astronomes carlyle smith beals is born.,astronomes naissance de carlyle smith beals.,les astronomes charlyle smith beals sont nés.
astronomes gerhard herzberg is born.,astronomes naissance de gerhard herzberg.,astronomes gerhard herzberg est né.
astronomes helen sawyer hogg is born.,astronomes naissance de helen sawyer hogg.,Les astronomes Helen Sawyer Hogg sont nés.
astronomes andrew mckellar is born.,astronomes naissance de andrew mckellar.,astronomes andrew mckellar est né.
astronomes arthur edwin covington is born.,astronomes naissance de arthur edwin covington.,astronomes arthur edwin covington est né.
astronomes anne barbara underhill is born.,astronomes naissance de anne barbara underhill.,astronomes anne barbara underhill est né.
astronomes sidney van den bergh is born.,astronomes naissance de sidney van den bergh.,Astronomes Sidney van den Bergh est né.
astronomes,astronomes naissance de hubert reeves,astronomes
astronomes rené racine is born.,astronomes naissance de rené racine.,astronomes rené racine est né.
astronomes john barrie hutchings is born.,astronomes naissance de john barrie hutchings.,Astronomes John Barrie Hutchings est né.
astronomes jack newton is born.,astronomes naissance de jack newton.,Astronomes Jack Newton est né.
astronomes charles thomas bolton is born.,astronomes naissance de charles thomas bolton.,astronomes charles thomas boulon est né.
astronomes jean-rené roy is born.,astronomes naissance de jean-rené roy.,astronomes jean-rené roy est né.
astronomes damien lemay is born.,astronomes naissance de damien lemay.,Astronomes Damien Lemay est né.
astronomes paul boltwood is born.,astronomes naissance de paul boltwood.,astronomes paul boulonwood est né.
astronomes peter gordon martin is born.,astronomes naissance de peter gordon martin.,astronomes peter gordon martin est né.
astronomes gilles fontaine is born.,astronomes naissance de gilles fontaine.,astronomes gilles fontaine est né.
astronomes david howard levy is born.,astronomes naissance de david howard levy.,Les astronomes david howard sont nés.
astronomes john richard bond is born.,astronomes naissance de john richard bond.,Le lien astronomes john richard est né.
astronomes scott duncan tremaine is born.,astronomes naissance de scott duncan tremaine.,astronomes scott duncan tremaine est né.
replace by: 1953:,remplacer par: 1953:,Remplacer par : 1953 :
astronomes jaymie mark matthews is born.,astronomes naissance de jaymie mark matthews.,astronomes jaymie marque matthews est né.
in the future :,dans le futur :,à l'avenir :
they are: 1.,il s'agit des observatoires : 1.,ils sont: 1.
