en,fr
site map,plan du site
feedback,rétroaction
credits,crédits
français,english
what is light ?,qu’est-ce que la lumière?
cartoon,bande dessinée
links,liens
glossary,glossaire
observatories,observatoires
who are we?,où sommes-nous?
where did we come from?,d'où venons-nous?
are we alone?,sommes-nous seuls?
astronomers timeline,astronomes ligne de temps
verbatim a journey into canadian astronomy,verbatim l'aventure astronomique canadienne
instruments isaac newton builds his telescope.,instruments isaac newton fabrique son télescope.
astronomes william frederick king is born.,astronomes naissance de william frederick king.
astronomes john stanley plaskett is born.,astronomes naissance de john stanley plaskett.
astronomes clarence augustus chant is born.,astronomes naissance de clarence augustus chant.
astronomes carlyle smith beals is born.,astronomes naissance de carlyle smith beals.
astronomes gerhard herzberg is born.,astronomes naissance de gerhard herzberg.
astronomes helen sawyer hogg is born.,astronomes naissance de helen sawyer hogg.
astronomes andrew mckellar is born.,astronomes naissance de andrew mckellar.
astronomes arthur edwin covington is born.,astronomes naissance de arthur edwin covington.
astronomes anne barbara underhill is born.,astronomes naissance de anne barbara underhill.
astronomes sidney van den bergh is born.,astronomes naissance de sidney van den bergh.
astronomes,astronomes naissance de hubert reeves
astronomes rené racine is born.,astronomes naissance de rené racine.
astronomes john barrie hutchings is born.,astronomes naissance de john barrie hutchings.
astronomes jack newton is born.,astronomes naissance de jack newton.
astronomes charles thomas bolton is born.,astronomes naissance de charles thomas bolton.
astronomes jean-rené roy is born.,astronomes naissance de jean-rené roy.
astronomes damien lemay is born.,astronomes naissance de damien lemay.
astronomes paul boltwood is born.,astronomes naissance de paul boltwood.
astronomes peter gordon martin is born.,astronomes naissance de peter gordon martin.
astronomes gilles fontaine is born.,astronomes naissance de gilles fontaine.
astronomes david howard levy is born.,astronomes naissance de david howard levy.
astronomes john richard bond is born.,astronomes naissance de john richard bond.
astronomes scott duncan tremaine is born.,astronomes naissance de scott duncan tremaine.
replace by: 1953:,remplacer par: 1953:
astronomes jaymie mark matthews is born.,astronomes naissance de jaymie mark matthews.
in the future :,dans le futur :
they are: 1.,il s'agit des observatoires : 1.
"kingston observatory in london, ontario: est.","de kingston, à london, en ontario, en 1856 2."
stars produce large amounts of neutrinos.,les étoiles en produisent de grandes quantités.
work began in 1990 and was completed in 1999.,les travaux débutent en 1990 et se terminent 1999.
all together the satellite weighs 250 kilograms.,"en tout, le satellite pèse 250 kilogrammes."
its predicted life expectancy is 5 to 10 years.,sa durée de vie devrait être de 5 à 10 ans.
"the entire observatory will weigh 6,600 kilograms.",l'observatoire entier pèsera 6600 kilogrammes.
the next generation,la relève
he passed away in ottawa in 1916 at 62 years old.,"il meurt à ottawa en 1916, à l'âge de 62 ans."
chant acted as president from 1904 to 1907.,chant en sera le président entre 1904 et 1907.
herzberg died in ottawa in 1999 at 94 years old.,"herzberg meut à ottawa en 1999, à l'âge de 94 ans."
asteroid 3316 was named in his honour.,l'astéroïde no 3316 porte son nom en son honneur.
asteroid 2917 was named in her honour.,l'astéroïde no 2917 porte son nom en son honneur.
asteroid 4230 bears his name in his honour.,l'astéroïde no 4230 porte son nom en son honneur.
other instruments were to follow.,d'autres appareils suivront par la suite.
asteroid 4230 is named in his honour.,l'astéroïde no 4230 porte son nom en son honneur.
it was quite a triumph.,c'est un triomphe.
a photographic guide for the amateur in 1977.,a photographic guide for the amateur.
he wrote two books with philip teece:,il rédige ensuite deux livres avec philip teece :
asteroid 3673 is named after him.,l'astéroïde no 3673 porte son nom en son honneur.
the first instruments the transit and the sextant,les premiers instruments le transit et le sextant
invisible light collectors seeing the invisible,les capteurs de lumière invisible voir l’invisible
photographic plates memorizing light,les plaques photographiques mémoriser la lumière
the cornea surrounds and protects the eye.,la cornée enveloppe et protège l’œil.
microwaves are of immense interest to astronomers.,les micro-ondes sont très étudiées en astronomie.
the result is a photographic image.,le résultat est alors une image.
let’s take a look at the case of temperature.,prenons le cas de la température.
it was the first true photometer.,c’est le premier « vrai » photomètre.
"in all, 2,363 infrared sources were detected.","en tout, 2363 sources infrarouges sont détectées."
it was the first photograph of our sun’s spectrum.,c’est la première photographie du spectre solaire.
"the answer was not long in coming, however.",la réponse ne tardera pas.
this is destructive interference.,on parle alors d’interférence destructive.
the first tests were performed in 1983 and 1984.,les premiers tests sont réalisés en 1983 et 1984.
what would we do without it?,que ferions-nous sans elle ?
so what exactly is light?,mais qu'est-ce donc que la lumière ?
text of this activity,texte de l'activité
gamma rays the most energetic form of light.,rayons gamma lumière la plus énergétique qui soit.
the sun under gamma rays,le soleil vu sous les rayons gamma
the sun under x-rays,le soleil vu sous les rayons x
the sun under ultraviolet,le soleil vu sous les rayons ultraviolet
the sun visible,le soleil vu dans la zone visible
the sun under infrared,le soleil vu sous les rayons infrarouges
the sun under radio waves,le soleil vu dans la zone des fréquences radio
emission spectra of hydrogen.,spectre d'émission de l'hydrogène.
emission spectra of iron.,spectre d'émission du fer.
boy what is a light year?,bulle garçon qu’est-ce qu’une année-lumière?
girl it’s like travelling through time.,bulle fille comme si nous voyagions dans le temps.
now i understand!,je comprend!
wildlife and plants are also affected.,la faune et la flore sont également touchées.
your turn to get involved!,"alors, à vous de jouer!"
click on:,vous pouvez cliquer sur :
"the young man replied, ""i am morning star.",« je suis étoile du matin.
this one is from the iroquois of ontario.,la première provient des iroquois de l'ontario :
"""don’t be stupid,"" another replied.","« ne soit pas stupide », dit un autre."
"""rocks can be broken.""",« les rochers peuvent se briser.
"""what about trees?",»
"""why not take on the form of night?",« pourquoi ne pas prendre la forme de la nuit?
"""they live in the sky and never die.""",« elles habitent le ciel et ne meurent jamais.
it occupied the centre of their universe.,elle occupe aussi le centre de l'univers.
four men were hunting a bear.,quatre hommes poursuivaient un ours.
the moon-man heard him and descended to earth.,l'homme-lune l'entendit et descendit sur terre.
"it evolved over time, and thus it has a history.","en d’autres mots, il a une histoire."
it is dangerous to view the sun directly.,il est dangereux d'observer directement le soleil.
bring a notebook and pencil to take notes.,la musique peut être une option agréable.
how does a star finder work?,comment fonctionne le cherche-étoiles?
the way a star finder works is simple.,le fonctionnement du cherche-étoiles est simple.
astronomers,astronomes
astronomers glossary,astronomes glossaire
synonym: shooting star.,synonyme: étoile filante.
◦ radiation:,◦ radiation :
it is small and dim.,◦ tache solaire :
astronomers,verbatim
i know what you’re thinking:,je sais... vous allez dire « y a rien là ».
"""sound  s boring!""",mais écoutez bien...
"in fact, i was beginning to think we were lost.",en fait... je crois que nous étions perdus.
bubble are we almost there?,bulle quand est-ce qu’on arrive?
bubble i’m hungry.,bulle j’ai faim.
