en,fr,predicted
site map,plan du site,carte du site
feedback,rétroaction,réaction
credits,crédits,crédits
français,english,français
what is light ?,qu’est-ce que la lumière?,- C' est quoi la lumière ?
cartoon,bande dessinée,dessin animé
links,liens,liens
glossary,glossaire,glossaire
observatories,observatoires,observatoires
who are we?,où sommes-nous?,Qui sommes-nous ?
where did we come from?,d'où venons-nous?,D'où venons-nous ?
are we alone?,sommes-nous seuls?,On est seuls ?
astronomers timeline,astronomes ligne de temps,chronologie des astronomes
verbatim a journey into canadian astronomy,verbatim l'aventure astronomique canadienne,Un voyage dans l'astronomie canadienne.
instruments isaac newton builds his telescope.,instruments isaac newton fabrique son télescope.,Isaac Newton construit son télescope.
astronomes william frederick king is born.,astronomes naissance de william frederick king.,L'astronome William Frederick King est né.
astronomes john stanley plaskett is born.,astronomes naissance de john stanley plaskett.,L'astronome John Stanley Plaskett est né.
astronomes clarence augustus chant is born.,astronomes naissance de clarence augustus chant.,L'astronome Clarence Auguste Chante est né.
astronomes carlyle smith beals is born.,astronomes naissance de carlyle smith beals.,L'astronome Carlyle Smith Beals est né.
astronomes gerhard herzberg is born.,astronomes naissance de gerhard herzberg.,L'astronome Gerhard Herzberg est né.
astronomes helen sawyer hogg is born.,astronomes naissance de helen sawyer hogg.,L'astronome Helen Sawyer Hogg est née.
astronomes andrew mckellar is born.,astronomes naissance de andrew mckellar.,L'astronome Andrew McCellar est né.
astronomes arthur edwin covington is born.,astronomes naissance de arthur edwin covington.,L'astronome Arthur Edwin Covington est né.
astronomes anne barbara underhill is born.,astronomes naissance de anne barbara underhill.,l'astronome Anne Barbara Underhill est née.
astronomes sidney van den bergh is born.,astronomes naissance de sidney van den bergh.,L'astronome Sidney Van den Berg est né.
astronomes,astronomes naissance de hubert reeves,astronomes
astronomes rené racine is born.,astronomes naissance de rené racine.,L'astronome René Racine est né.
astronomes john barrie hutchings is born.,astronomes naissance de john barrie hutchings.,L'astronome John Barry Hutchings est né.
astronomes jack newton is born.,astronomes naissance de jack newton.,L'astronome Jack Newton est né.
astronomes charles thomas bolton is born.,astronomes naissance de charles thomas bolton.,L'astronome Charles Thomas Bolton est né.
astronomes jean-rené roy is born.,astronomes naissance de jean-rené roy.,L'astronome Jean-René Roy est né.
astronomes damien lemay is born.,astronomes naissance de damien lemay.,L'astronome Damien Lemay est né.
astronomes paul boltwood is born.,astronomes naissance de paul boltwood.,L'astronome Paul Boltwood est né.
astronomes peter gordon martin is born.,astronomes naissance de peter gordon martin.,L'astronome Peter Gordon Martin est né.
astronomes gilles fontaine is born.,astronomes naissance de gilles fontaine.,L'astronome Gilles Fontaine est né.
astronomes david howard levy is born.,astronomes naissance de david howard levy.,L'astronome David Howard Levy est né.
astronomes john richard bond is born.,astronomes naissance de john richard bond.,L'astronome John Richard Bond est né.
astronomes scott duncan tremaine is born.,astronomes naissance de scott duncan tremaine.,L'astronome Scott Duncan Tremaine est né.
replace by: 1953:,remplacer par: 1953:,remplacé par le texte suivant:
astronomes jaymie mark matthews is born.,astronomes naissance de jaymie mark matthews.,L'astronome Jamie Mark Matthews est né.
in the future :,dans le futur :,à l'avenir:
they are: 1.,il s'agit des observatoires : 1.,sont les suivantes: 1.
"kingston observatory in london, ontario: est.","de kingston, à london, en ontario, en 1856 2.","L'observatoire Kingston à Londres, en Ontario: est."
stars produce large amounts of neutrinos.,les étoiles en produisent de grandes quantités.,Les étoiles produisent de grandes quantités de neutrinos.
work began in 1990 and was completed in 1999.,les travaux débutent en 1990 et se terminent 1999.,Les travaux ont commencé en 1990 et ont été achevés en 1999.
all together the satellite weighs 250 kilograms.,"en tout, le satellite pèse 250 kilogrammes.",Le satellite pèse 250 kg.
its predicted life expectancy is 5 to 10 years.,sa durée de vie devrait être de 5 à 10 ans.,sa durée de vie prévue est de 5 à 10 ans.
"the entire observatory will weigh 6,600 kilograms.",l'observatoire entier pèsera 6600 kilogrammes.,L'ensemble de l'observatoire pesera 6 600 kg.
the next generation,la relève,la génération suivante
he passed away in ottawa in 1916 at 62 years old.,"il meurt à ottawa en 1916, à l'âge de 62 ans.",Il est décédé à Ottawa en 1916 à l'âge de 62 ans.
chant acted as president from 1904 to 1907.,chant en sera le président entre 1904 et 1907.,chant a été président de 1904 à 1907.
herzberg died in ottawa in 1999 at 94 years old.,"herzberg meut à ottawa en 1999, à l'âge de 94 ans.",Herzberg est décédé à Ottawa en 1999 à l'âge de 94 ans.
asteroid 3316 was named in his honour.,l'astéroïde no 3316 porte son nom en son honneur.,L'astéroïde 3316 a été nommé en son honneur.
asteroid 2917 was named in her honour.,l'astéroïde no 2917 porte son nom en son honneur.,L'astéroïde 2917 a été nommé en son honneur.
asteroid 4230 bears his name in his honour.,l'astéroïde no 4230 porte son nom en son honneur.,L'astéroïde 4230 porte son nom en son honneur.
other instruments were to follow.,d'autres appareils suivront par la suite.,d'autres instruments étaient à suivre.
asteroid 4230 is named in his honour.,l'astéroïde no 4230 porte son nom en son honneur.,L'astéroïde 4230 est nommé en son honneur.
it was quite a triumph.,c'est un triomphe.,C'était un vrai triomphe.
a photographic guide for the amateur in 1977.,a photographic guide for the amateur.,Un guide photographique pour l'amateur en 1977.
he wrote two books with philip teece:,il rédige ensuite deux livres avec philip teece :,Il a écrit deux livres avec Philippe Tisse:
asteroid 3673 is named after him.,l'astéroïde no 3673 porte son nom en son honneur.,L'astéroïde 3673 est nommé d'après lui.
the first instruments the transit and the sextant,les premiers instruments le transit et le sextant,les premiers instruments le transit et le sextant
invisible light collectors seeing the invisible,les capteurs de lumière invisible voir l’invisible,Les collecteurs de lumière invisibles voient l'invisible
photographic plates memorizing light,les plaques photographiques mémoriser la lumière,plaques photographiques qui mémorisent la lumière
