en,fr,predicted
site map,plan du site,Plan du site
feedback,rétroaction,rétroaction
credits,crédits,crédits
français,english,English
what is light ?,qu’est-ce que la lumière?,Qu'est-ce que la lumière?
cartoon,bande dessinée,caricature
links,liens,liens
glossary,glossaire,glossaire
observatories,observatoires,Observatoires
who are we?,où sommes-nous?,qui sommes-nous?
where did we come from?,d'où venons-nous?,d'où venons-nous?
are we alone?,sommes-nous seuls?,tes-nous seuls?
astronomers timeline,astronomes ligne de temps,astronomes chronologie
verbatim a journey into canadian astronomy,verbatim l'aventure astronomique canadienne,"Bref, un voyage dans l'astronomie canadienne"
instruments isaac newton builds his telescope.,instruments isaac newton fabrique son télescope.,instruments isaac newton construit son télescope.
astronomes william frederick king is born.,astronomes naissance de william frederick king.,astronomes william frederick king est né.
astronomes john stanley plaskett is born.,astronomes naissance de john stanley plaskett.,astronomes john stanley plaskett est né.
astronomes clarence augustus chant is born.,astronomes naissance de clarence augustus chant.,astronomes clarence augustus chant est né.
astronomes carlyle smith beals is born.,astronomes naissance de carlyle smith beals.,astronomes carlyle smith beals est né.
astronomes gerhard herzberg is born.,astronomes naissance de gerhard herzberg.,astronomes gerhard herzberg est né.
astronomes helen sawyer hogg is born.,astronomes naissance de helen sawyer hogg.,astronomes helen sawyer hogg est né.
astronomes andrew mckellar is born.,astronomes naissance de andrew mckellar.,astronomes etrew mckellar est né.
astronomes arthur edwin covington is born.,astronomes naissance de arthur edwin covington.,astronomes arthur edwin covington est né.
astronomes anne barbara underhill is born.,astronomes naissance de anne barbara underhill.,astronomes anne barbara soushill est né.
astronomes sidney van den bergh is born.,astronomes naissance de sidney van den bergh.,astronomes sidney van den bergh est né.
astronomes,astronomes naissance de hubert reeves,astronomes
astronomes rené racine is born.,astronomes naissance de rené racine.,astronomes rené racine est né.
astronomes john barrie hutchings is born.,astronomes naissance de john barrie hutchings.,astronomes john barrie hutchings est né.
astronomes jack newton is born.,astronomes naissance de jack newton.,astronomes jack newton est né.
astronomes charles thomas bolton is born.,astronomes naissance de charles thomas bolton.,astronomes charles thomas bolton est né.
